Timestamp (ms since Unix Epoch),X,Y,Z,Activity
1565079779018,0.994568,-0.00323486,-0.0444336,0
1565079779058,0.995239,0.00793457,-0.0463867,0
1565079779099,0.978333,0.00518799,-0.0534668,0
1565079779139,1.01379,-0.00408936,-0.0668945,0
1565079779180,1.00525,-0.0170288,-0.0480957,0
1565079779219,0.977295,-0.0115967,-0.0557251,0
1565079779260,0.988037,-0.0165405,-0.0681152,0
1565079779300,0.996338,-0.0166626,-0.0618286,0
1565079779341,0.996277,-0.0137329,-0.0603027,0
1565079779380,0.99585,-0.00939941,-0.0618896,0
1565079779421,0.990112,-0.0147705,-0.0641479,0
1565079779461,0.986511,-0.0161133,-0.0599365,0
1565079779500,0.994141,-0.0148926,-0.0618896,0
1565079779541,0.996155,-0.0158081,-0.0634766,0
1565079779581,0.989136,-0.0157471,-0.0598755,0
1565079779622,0.98877,-0.0194092,-0.0634155,0
1565079779662,0.994324,-0.0189209,-0.0640259,0
1565079779703,0.99231,-0.0178833,-0.0621948,0
1565079779742,0.990967,-0.0165405,-0.059021,0
1565079779783,0.995667,-0.0160522,-0.0606689,0
1565079779823,0.997253,-0.0194092,-0.0639648,0
1565079779864,0.993408,-0.0161133,-0.0588379,0
1565079779903,0.988159,-0.0166016,-0.0619507,0
1565079779944,0.985901,-0.0201416,-0.0634766,0
1565079779984,0.991394,-0.0241089,-0.0657349,0
1565079780025,0.996155,-0.0203247,-0.0655518,0
1565079780064,0.996033,-0.0166626,-0.0603027,0
1565079780105,0.993713,-0.0166626,-0.0643921,0
1565079780145,0.989624,-0.0198364,-0.0653076,0
1565079780184,0.992737,-0.0155029,-0.0618896,0
1565079780225,0.992737,-0.0128784,-0.0614014,0
1565079780265,0.98761,-0.0219116,-0.0679932,0
1565079780306,0.98938,-0.022522,-0.0613403,0
1565079780346,0.99585,-0.0194702,-0.06427,0
1565079780387,0.99408,-0.0181274,-0.0668335,0
1565079780426,0.990601,-0.0164185,-0.0630493,0
1565079780467,0.991821,-0.0167236,-0.0653687,0
1565079780507,0.988892,-0.0169067,-0.0609741,0
1565079780548,0.99176,-0.0167236,-0.0640869,0
1565079780587,0.995117,-0.015686,-0.0679932,0
1565079780628,0.994629,-0.0154419,-0.0631104,0
1565079780668,0.989502,-0.0141602,-0.0629883,0
1565079780709,0.987915,-0.0179443,-0.0651245,0
1565079780748,0.993958,-0.0217285,-0.071167,0
1565079780788,0.994873,-0.0186157,-0.0730591,0
1565079780829,0.986877,-0.0153809,-0.0671387,0
1565079780869,0.993286,-0.0111694,-0.0637817,0
1565079780910,0.992615,-0.0142212,-0.0687866,0
1565079780949,0.989868,-0.0135498,-0.0606079,0
1565079780990,0.993408,-0.015625,-0.0702515,0
1565079781030,0.987854,-0.0179443,-0.0653076,0
1565079781071,0.988159,-0.0194702,-0.0643921,0
1565079781110,1.00085,-0.0181885,-0.0838623,0
1565079781151,0.990845,-0.0184937,-0.065918,0
1565079781191,0.985168,-0.0181885,-0.0657349,0
1565079781232,1.00867,-0.0134277,-0.0788574,0
1565079781271,0.995911,-0.0132446,-0.0657349,0
1565079781312,0.990234,-0.0183105,-0.0695801,0
1565079781352,0.99646,-0.0184326,-0.0750732,0
1565079781393,0.986206,-0.0183716,-0.071106,0
1565079781433,0.985168,-0.0180664,-0.0759888,0
1565079781472,0.990051,-0.0172119,-0.0733032,0
1565079781513,0.99231,-0.0117188,-0.0689087,0
1565079781553,0.998291,-0.0134277,-0.0710449,0
1565079781594,0.987976,-0.0147705,-0.069458,0
1565079781633,0.992493,-0.0167847,-0.071106,0
1565079781674,0.990417,-0.0153809,-0.0686646,0
1565079781714,0.985352,-0.0181274,-0.0732422,0
1565079781755,0.997253,-0.0184326,-0.0779419,0
1565079781794,0.991943,-0.0145874,-0.0604248,0
1565079781835,0.998962,-0.017395,-0.0647583,0
1565079781875,0.994629,-0.0213623,-0.0732422,0
1565079781916,0.983643,-0.0216064,-0.0736694,0
1565079781955,0.990723,-0.0123901,-0.0709839,0
1565079781996,0.982727,-0.013916,-0.0684204,0
1565079782036,0.992859,-0.0132446,-0.0710449,0
1565079782077,0.993469,-0.0148315,-0.0632935,0
1565079782117,0.982666,-0.0206909,-0.0641479,0
