Timestamp (ms since Unix Epoch),X,Y,Z,Activity
1565093827075,0.533142,0.367004,0.853394,5
1565093827116,0.541016,0.380188,0.799438,5
1565093827156,0.663818,0.376526,0.782593,5
1565093827197,0.654968,0.30719,0.803894,5
1565093827236,0.603333,0.266785,0.753418,5
1565093827277,0.581177,0.264343,0.754456,5
1565093827317,0.599609,0.285339,0.778931,5
1565093827358,0.57843,0.306885,0.811462,5
1565093827397,0.562683,0.333252,0.824097,5
1565093827438,0.547546,0.356506,0.82312,5
1565093827478,0.50592,0.356995,0.81604,5
1565093827519,0.52124,0.365173,0.830505,5
1565093827559,0.513367,0.403198,0.838684,5
1565093827600,0.547546,0.435364,0.829346,5
1565093827639,0.597473,0.397705,0.931091,5
1565093827680,0.543335,0.344177,0.945496,5
1565093827720,0.530762,0.306519,0.830688,5
1565093827761,0.527222,0.28894,0.76416,5
1565093827800,0.536987,0.264404,0.733521,5
1565093827840,0.574524,0.233765,0.761963,5
1565093827881,0.591431,0.218689,0.812012,5
1565093827920,0.577209,0.212585,0.845093,5
1565093827961,0.535767,0.205078,0.86731,5
1565093828001,0.595581,0.196594,0.838013,5
1565093828042,0.586853,0.188293,0.830566,5
1565093828081,0.554016,0.216614,0.822449,5
1565093828122,0.613708,0.210388,0.7995,5
1565093828162,0.637878,0.195129,0.815735,5
1565093828203,0.628052,0.240723,0.759338,5
1565093828243,0.66156,0.252563,0.77832,5
1565093828284,0.625427,0.237671,0.792297,5
1565093828323,0.524353,0.279785,0.764038,5
1565093828364,0.400146,0.315613,0.811707,5
1565093828404,0.364624,0.356934,0.86145,5
1565093828445,0.474548,0.452698,0.939575,5
1565093828484,0.487915,0.448242,0.992615,5
1565093828525,0.353149,0.365295,0.937256,5
1565093828565,0.390686,0.295654,0.878601,5
1565093828606,0.562622,0.254639,0.846985,5
1565093828645,0.478821,0.251343,0.794067,5
1565093828686,0.407654,0.288147,0.801941,5
1565093828726,0.392212,0.352539,0.865967,5
1565093828767,0.381042,0.427612,1.03839,5
1565093828807,0.531982,0.4505,1.01959,5
1565093828846,0.610657,0.299133,0.852234,5
1565093828887,0.559875,0.187988,0.741455,5
1565093828927,0.484924,0.192017,0.727234,5
1565093828968,0.480591,0.26355,0.791138,5
1565093829007,0.382202,0.313354,0.867615,5
1565093829048,0.40155,0.352295,0.985779,5
1565093829088,0.492493,0.397827,0.981628,5
1565093829129,0.450073,0.442505,0.858582,5
1565093829168,0.674683,0.411499,0.884827,5
1565093829209,0.608765,0.305969,0.83667,5
1565093829249,0.516479,0.253906,0.790649,5
1565093829290,0.603821,0.289856,0.786072,5
1565093829330,0.577148,0.29071,0.786255,5
1565093829371,0.552612,0.254883,0.816223,5
1565093829410,0.574341,0.271118,0.830017,5
1565093829451,0.549988,0.278381,0.822388,5
1565093829491,0.552185,0.281067,0.833984,5
1565093829532,0.540833,0.286133,0.809021,5
1565093829571,0.552551,0.318787,0.792603,5
1565093829612,0.560913,0.364746,0.821045,5
1565093829652,0.530518,0.352722,0.840942,5
1565093829693,0.515259,0.36615,0.824463,5
1565093829732,0.491089,0.364319,0.813171,5
1565093829773,0.496765,0.382935,0.826843,5
1565093829813,0.485535,0.402344,0.817871,5
1565093829854,0.532593,0.43158,0.830811,5
1565093829893,0.535278,0.432312,0.833008,5
1565093829933,0.523315,0.387756,0.836853,5
1565093829974,0.543396,0.378296,0.843201,5
1565093830014,0.51416,0.343079,0.836304,5
1565093830055,0.523926,0.332825,0.82489,5
1565093830094,0.533264,0.334229,0.800232,5
1565093830135,0.513977,0.348267,0.80658,5
1565093830175,0.49408,0.35968,0.792603,5
1565093830216,0.479431,0.395508,0.802551,5
1565093830255,0.460388,0.470337,0.848877,5
1565093830296,0.512146,0.58313,0.914063,5
1565093830336,0.542053,0.575195,0.903381,5
1565093830377,0.512268,0.494751,0.932129,5
1565093830416,0.463684,0.381409,0.860718,5
1565093830457,0.462341,0.333191,0.781616,5
1565093830497,0.497498,0.310181,0.743042,5
1565093830538,0.502563,0.26178,0.724792,5
1565093830578,0.516479,0.19635,0.750793,5
1565093830619,0.64093,0.200317,0.789185,5
1565093830658,0.704163,0.247925,0.784851,5
1565093830699,0.655396,0.250061,0.831238,5
1565093830739,0.593262,0.255066,0.821533,5
1565093830780,0.541565,0.265625,0.829224,5
1565093830819,0.57782,0.277466,0.837036,5
1565093830860,0.574524,0.308044,0.818481,5
1565093830900,0.54187,0.341064,0.839844,5
1565093830941,0.526794,0.324219,0.837219,5
1565093830980,0.513794,0.303711,0.836487,5
1565093831020,0.514343,0.308899,0.833191,5
1565093831061,0.509521,0.313477,0.83374,5
1565093831100,0.524719,0.315308,0.841064,5
1565093831142,0.533997,0.318604,0.839661,5
1565093831181,0.518921,0.328613,0.8396,5
1565093831222,0.50531,0.317017,0.827332,5
1565093831262,0.508789,0.318237,0.841248,5
1565093831303,0.51123,0.346619,0.883606,5
1565093831342,0.491821,0.411316,0.882446,5
1565093831383,0.575378,0.437012,0.862305,5
1565093831423,0.559753,0.365417,0.948608,5
1565093831464,0.515198,0.290894,0.940735,5
1565093831503,0.498047,0.240906,0.782776,5
1565093831544,0.529175,0.235657,0.735229,5
1565093831584,0.549622,0.237915,0.734863,5
1565093831625,0.569031,0.230408,0.763916,5
1565093831664,0.596619,0.232971,0.791138,5
1565093831705,0.583374,0.251953,0.822937,5
1565093831745,0.570923,0.260925,0.84198,5
1565093831786,0.570251,0.268433,0.857605,5
1565093831826,0.553162,0.277039,0.855957,5
1565093831867,0.566162,0.278076,0.835266,5
1565093831906,0.581421,0.288452,0.817627,5
1565093831947,0.561401,0.286072,0.838745,5
1565093831987,0.554932,0.290222,0.842285,5
1565093832026,0.548401,0.297729,0.834167,5
1565093832067,0.530945,0.30188,0.81311,5
1565093832107,0.575928,0.327759,0.816589,5
