Timestamp (ms since Unix Epoch),X,Y,Z,Activity,Resultant,x-mean,(x-mean)2,variance,,,,
1.56509E+12,0.984375,0.0166626,0.120605,5,0.991875672,-0.037956037,0.001440661,,,,,
1.56509E+12,1.00677,0.00817871,0.132263,5,1.015453704,-0.014378005,0.000206727,,,,,
1.56509E+12,0.988953,0.0206909,0.138977,5,0.998884756,-0.030946953,0.000957714,,,,,
1.56509E+12,0.970154,0.0374146,0.139648,5,0.980867065,-0.048964644,0.002397536,,,,,
1.56509E+12,1.01685,0.0284424,0.159546,5,1.029683358,-0.00014835,2.20078E-08,,,,,
1.56509E+12,0.994385,0.0337524,0.153931,5,1.006794669,-0.02303704,0.000530705,,,,,
1.56509E+12,1.02191,0.0187378,0.113098,5,1.02832014,-0.001511569,2.28484E-06,,,,,
1.56509E+12,1.01434,0.0112915,0.0759277,5,1.017240458,-0.012591251,0.00015854,,,,,
1.56509E+12,0.9552,0.0224609,0.103577,5,0.961061771,-0.068769938,0.004729304,,,,,
1.56509E+12,0.948669,0.0335083,0.118591,5,0.956639693,-0.073192015,0.005357071,,,,,
1.56509E+12,0.998779,0.0197144,0.129517,5,1.007334503,-0.022497206,0.000506124,,,,,
1.56509E+12,1.00494,0.0113525,0.125366,5,1.012793126,-0.017038583,0.000290313,,,,,
1.56509E+12,1.02124,0.0317383,0.110107,5,1.027648777,-0.002182932,4.76519E-06,,,,,
1.56509E+12,1.03815,0.0296631,0.141602,5,1.04818245,0.018350741,0.00033675,,,,,
1.56509E+12,1.02057,0.0130615,0.139343,5,1.030121449,0.00028974,8.39492E-08,,,,,
1.56509E+12,0.982727,0.0159302,0.0788574,5,0.986014512,-0.043817197,0.001919947,,,,,
1.56509E+12,0.986694,0.00335693,0.0698242,5,0.989167194,-0.040664515,0.001653603,,,,,
1.56509E+12,0.981262,-0.00982666,0.0828247,5,0.984800288,-0.045031421,0.002027829,,,,,
1.56509E+12,0.952026,-0.0043335,0.0870361,5,0.956006049,-0.073825659,0.005450228,,,,,
1.56509E+12,0.969604,-0.00476074,0.0725708,5,0.972327672,-0.057504037,0.003306714,,,,,
1.56509E+12,0.976868,-0.0195313,0.081604,5,0.98046508,-0.049366628,0.002437064,,,,,
1.56509E+12,0.991211,-0.0319214,0.0623779,5,0.993684671,-0.036147038,0.001306608,,,,,
1.56509E+12,1.04486,-0.0333862,0.0264282,5,1.045727263,0.015895554,0.000252669,,,,,
1.56509E+12,1.02576,-0.0211792,0.0360718,5,1.026612542,-0.003219167,1.0363E-05,,,,,
1.56509E+12,0.997009,-0.0193481,0.0153809,5,0.99731533,-0.032516379,0.001057315,,,,,
1.56509E+12,0.986206,-0.0365601,-0.0444946,5,0.987885967,-0.041945741,0.001759445,,,,,
1.56509E+12,0.954041,-0.0487671,-0.0148315,5,0.955401713,-0.074429996,0.005539824,,,,,
1.56509E+12,0.991333,-0.0394287,0.0349731,5,0.992733024,-0.037098685,0.001376312,,,,,
1.56509E+12,1.03058,-0.0219116,0.0409546,5,1.03162616,0.001794451,3.22005E-06,,,,,
1.56509E+12,0.994019,0.000244141,0.0619507,5,0.99594765,-0.033884059,0.001148129,,,,,
1.56509E+12,0.987854,0.0107422,0.0817871,5,0.991292111,-0.038539598,0.001485301,,,,,
1.56509E+12,1.02271,0.0164795,0.0496216,5,1.024045712,-0.005785996,3.34778E-05,,,,,
1.56509E+12,1.01691,0.0118408,0.0229492,5,1.017237838,-0.012593871,0.000158606,,,,,
