Timestamp (ms since Unix Epoch),X,Y,Z,Activity,Resultant,x-mean,(x-mean)2,variance
1.56509E+12,0.995361,0.0206909,0.190796,5,1.013693616,0.010251081,0.000105085,0.994105023
1.56509E+12,0.956543,0.0257568,0.197266,5,0.977011667,0.977011667,0.954551798,
1.56509E+12,0.980591,0.0252686,0.19751,5,1.000603524,1.000603524,1.001207412,
1.56509E+12,1.02863,0.0178223,0.194153,5,1.046944458,1.046944458,1.096092699,
1.56509E+12,0.993103,0.0102539,0.203979,5,1.013886652,1.013886652,1.027966144,
1.56509E+12,0.960571,0.0155029,0.193054,5,0.97990144,0.97990144,0.960206833,
1.56509E+12,0.971497,0.0172729,0.191101,5,0.990264796,0.990264796,0.980624366,
1.56509E+12,0.974182,0.0108032,0.195496,5,0.993662903,0.993662903,0.987365964,
1.56509E+12,0.984436,0.00750732,0.185669,5,1.001820131,1.001820131,1.003643576,
1.56509E+12,1.0058,0.0136719,0.183655,5,1.022521256,1.022521256,1.04554972,
1.56509E+12,0.987427,0.0201416,0.191406,5,1.006008957,1.006008957,1.012054021,
1.56509E+12,0.976257,0.0206909,0.201172,5,0.996983459,0.996983459,0.993976017,
1.56509E+12,0.976563,0.017334,0.195496,5,0.996089578,0.996089578,0.992194447,
1.56509E+12,0.972351,0.0148315,0.194275,5,0.991679997,0.991679997,0.983429216,
1.56509E+12,0.990845,0.0128174,0.19104,5,1.009175099,1.009175099,1.018434381,
1.56509E+12,0.98938,0.0147095,0.194092,5,1.008345605,1.008345605,1.016760858,
1.56509E+12,0.985413,0.0216064,0.198608,5,1.005460469,1.005460469,1.010950755,
1.56509E+12,0.98761,0.020813,0.197571,5,1.007393167,1.007393167,1.014840993,
1.56509E+12,0.978088,0.0170288,0.19281,5,0.997056574,0.997056574,0.994121812,
1.56509E+12,0.983704,0.0162964,0.196167,5,1.003205176,1.003205176,1.006420624,
1.56509E+12,0.988892,0.0187988,0.197266,5,1.008550771,1.008550771,1.017174657,
1.56509E+12,0.986084,0.0213013,0.196838,5,1.005763689,1.005763689,1.011560599,
1.56509E+12,0.977783,0.0204468,0.199036,5,0.998044586,0.998044586,0.996092996,
1.56509E+12,0.980896,0.0169067,0.191772,5,0.999609573,0.999609573,0.999219299,
1.56509E+12,0.993958,0.0206909,0.193115,5,1.012755658,1.012755658,1.025674022,
1.56509E+12,0.986084,0.0245361,0.19696,5,1.005861281,1.005861281,1.011756917,
1.56509E+12,0.985718,0.0236206,0.192383,5,1.004594011,1.004594011,1.009209127,
1.56509E+12,0.980286,0.0220337,0.193359,5,0.999416744,0.999416744,0.998833829,
1.56509E+12,0.982849,0.0176392,0.196289,5,1.002413423,1.002413423,1.00483267,
1.56509E+12,0.984619,0.0152588,0.193848,5,1.003635618,1.003635618,1.007284453,
1.56509E+12,0.980286,0.0169067,0.191162,5,0.998894083,0.998894083,0.997789389,
1.56509E+12,0.988586,0.0195313,0.195801,5,1.007979059,1.007979059,1.016021783,
1.56509E+12,0.979858,0.0206299,0.197693,5,0.99981489,0.99981489,0.999629815,
1.56509E+12,0.979431,0.0214233,0.192383,5,0.998376312,0.998376312,0.99675526,
1.56509E+12,0.984924,0.0205078,0.193176,5,1.003898811,1.003898811,1.007812823,
1.56509E+12,0.985779,0.0170288,0.199585,5,1.005924644,1.005924644,1.011884389,
1.56509E+12,0.980469,0.0236206,0.195251,5,1.000000173,1.000000173,1.000000346,
1.56509E+12,0.995911,0.0187988,0.195984,5,1.01518562,1.01518562,1.030601843,
1.56509E+12,0.969971,0.022522,0.200073,5,0.990646348,0.990646348,0.981380187,
1.56509E+12,0.982483,0.0223389,0.191162,5,1.001156722,1.001156722,1.002314782,
1.56509E+12,0.982178,0.0162964,0.195068,5,1.001494244,1.001494244,1.002990721,
1.56509E+12,0.981323,0.0239258,0.194153,5,1.000631132,1.000631132,1.001262662,
1.56509E+12,0.990967,0.0286255,0.194763,5,1.010330461,1.010330461,1.020767641,
1.56509E+12,0.972961,0.0254517,0.205444,5,0.994740234,0.994740234,0.989508134,
1.56509E+12,0.994995,0.013916,0.194092,5,1.013844371,1.013844371,1.02788041,
1.56509E+12,0.982239,0.0133667,0.190918,5,1.00071065,1.00071065,1.001421805,
1.56509E+12,0.986328,0.0186768,0.194824,5,1.00555862,1.00555862,1.011148137,
1.56509E+12,0.977417,0.0231934,0.200256,5,0.997990176,0.997990176,0.995984391,
1.56509E+12,0.970886,0.0232544,0.190552,5,0.989681998,0.989681998,0.979470457,
1.56509E+12,0.984802,0.0180664,0.189148,5,1.002964775,1.002964775,1.00593834,
1.56509E+12,0.984741,0.0170288,0.194702,5,1.003949045,1.003949045,1.007913686,
1.56509E+12,0.982605,0.020813,0.195313,5,1.002044378,1.002044378,1.004092935,
1.56509E+12,0.986206,0.0248413,0.189697,5,1.004591617,1.004591617,1.009204316,
1.56509E+12,0.978699,0.0326538,0.189331,5,0.99737868,0.99737868,0.994764231,
1.56509E+12,0.984009,0.0254517,0.205872,5,1.005636506,1.005636506,1.011304781,
1.56509E+12,0.979858,0.026123,0.197998,5,1.00000366,1.00000366,1.000007319,
1.56509E+12,0.976624,0.0352783,0.195435,5,0.996611175,0.996611175,0.993233835,
1.56509E+12,0.982117,0.022522,0.186768,5,0.999971664,0.999971664,0.999943328,
1.56509E+12,1.00879,0.0108032,0.166443,5,1.022485817,1.022485817,1.045477245,
1.56509E+12,1.01538,0.00933838,0.144043,5,1.025588678,1.025588678,1.051832136,
1.56509E+12,0.987549,0.0133667,0.122803,5,0.995244831,0.995244831,0.990512273,
